PGDP_ID;Provider_ID;Provider;Genus;Species;Origin;Sex
PD_0773;16008_2010;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;F
PD_0774;16035_3003;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;F
PD_0775;16074_4004;Rogers ;Papio;cynocephalus;Mikumi, Tanzania;M
PD_0776;34376_BZ11019;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;M
PD_0777;34385_BZ11029;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;M
PD_0778;34390_BZ11034;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;M
PD_0779;34391_BZ11035;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;M
PD_0780;34393_BZ11037;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;M
PD_0781;34394_BZ11038;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;F
PD_0782;34395_BZ11039;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;M
PD_0783;34396_BZ11040;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;M
PD_0784;34397_BZ11041;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;M
PD_0785;34407_BZ11053;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;M
PD_0786;34408_BZ11054;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;M
PD_0787;34410_BZ11057;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;M
PD_0788;34413_BZ11060;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;F
PD_0789;34417_BZ11064;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;F
PD_0790;34418_BZ11065;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;F
PD_0791;34419_BZ11066;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;F
PD_0792;34420_BZ11067;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;F
PD_0793;34422_BZ11070;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;M
PD_0794_BAB;34423_BZ11071;Rogers/Jolly/Phillips-Conroy;Papio;kindae;Chunga, Zambia;M
